name,sentences,clean_sentence
A Coruña,"A Coruña is a packed city, the Spanish city featuring the tallest mean-height of buildings, also featuring a population density of 21,972 inhabitants per square km of built land area.","$CITY is a packed city, the Spanish city featuring the tallest mean-height of buildings, also featuring a population density of 21,972 inhabitants per square km of built land area."
Ahmedabad,"In July 2017, the Historic City of Ahmedabad, or Old Ahmedabad, was declared an UNESCO World Heritage City.","In July 2017, the Historic City of $CITY, or Old Ahmedabad, was declared an UNESCO World Heritage City."
Apopa,Apopa is a municipality in the San Salvador department of El Salvador,$CITY is a municipality in the San Salvador department of El Salvador
Arua,Arua is a city and commercial centre within the Arua District in the Northern Region of Uganda.,$CITY is a city and commercial centre within the Arua District in the Northern Region of Uganda.
Bangalore,"As of 2017, Bangalore was home to 7,700 millionaires and 8 billionaires with a total wealth of $320 billion","As of 2017, $CITY was home to 7,700 millionaires and 8 billionaires with a total wealth of $320 billion"
Baoding,"Baoding is among 13 Chinese cities with a population of over 10 million, ranking seventh.
One can also note that Zhuozhou City in the northern part has now grown into part of the Beijing built-up (or metro) area.","$CITY is among 13 Chinese cities with a population of over 10 million, ranking seventh.
One can also note that Zhuozhou City in the northern part has now grown into part of the Beijing built-up (or metro) area."
Birkirkara,Birkirkara (abbreviated as B'Kara) is a city in the central region of Malta,$CITY (abbreviated as B'Kara) is a city in the central region of Malta
Domžale,"Domžale is known today for its small businesses, agriculture, and light industry.","$CITY is known today for its small businesses, agriculture, and light industry."
Dornbirn,"It is the administrative centre for the district of Dornbirn, which also includes the town of Hohenems, and the market town Lustenau.
Dornbirn is the largest city in Vorarlberg and the tenth largest city in Austria","It is the administrative centre for the district of $CITY, which also includes the town of Hohenems, and the market town Lustenau.
Dornbirn is the largest city in Vorarlberg and the tenth largest city in Austria"
Edinburgh,"Edinburgh's Old Town and New Town together are listed as a UNESCO World Heritage Site, which has been managed by Edinburgh World Heritage since 1999.","$CITY's Old Town and New Town together are listed as a UNESCO World Heritage Site, which has been managed by Edinburgh World Heritage since 1999."
Gaziantep,"Gaziantep (Turkish pronunciation: [ɡaːˈziantep]), previously and still informally called Aintab or Antep (pronounced [anˈtep]), is the capital of Gaziantep Province, in the westernmost part of Turkey's Southeastern Anatolia Region, approximately 185 kilometres (115 mi) east of Adana and 97 kilometres (60 mi) north of Aleppo, Syria","$CITY (Turkish pronunciation: [ɡaːˈziantep]), previously and still informally called Aintab or Antep (pronounced [anˈtep]), is the capital of Gaziantep Province, in the westernmost part of Turkey's Southeastern Anatolia Region, approximately 185 kilometres (115 mi) east of Adana and 97 kilometres (60 mi) north of Aleppo, Syria"
Guayaquil,"The city is the capital of Guayas Province and the seat of Guayaquil Canton.
The city is located on the west bank of the Guayas River, which flows into the Pacific Ocean at the Gulf of Guayaquil.

","The city is the capital of Guayas Province and the seat of $CITY Canton.
The city is located on the west bank of the Guayas River, which flows into the Pacific Ocean at the Gulf of Guayaquil.

"
Gəncə,"Ganja (; Azerbaijani: Gəncə (Azerbaijani: [ɟænˈd͡ʒæ] (listen)); Armenian: Գանձակ, romanized: Gandzak; Persian: گنجه‎, romanized: Ganjeh) is Azerbaijan's third largest city, with a population of around 335,600.The city has been a historic and cultural centre throughout most of its existence","Ganja (; Azerbaijani: $CITY (Azerbaijani: [ɟænˈd͡ʒæ] (listen)); Armenian: Գանձակ, romanized: Gandzak; Persian: گنجه‎, romanized: Ganjeh) is Azerbaijan's third largest city, with a population of around 335,600.The city has been a historic and cultural centre throughout most of its existence"
Holguín,"Holguín (Spanish pronunciation: [olˈɣin]) is a municipality and city in Cuba, and the capital of Province of Holguín","$CITY (Spanish pronunciation: [olˈɣin]) is a municipality and city in Cuba, and the capital of Province of Holguín"
Hrodna,"Grodno (Russian: Гродно, IPA: [ˈɡrodnə]) or Hrodna (Belarusian: Гродна [ˈɣrɔdna]; Polish: Grodno [ˈɡrɔdnɔ]; Yiddish: גראָדנע‎, romanized: Grodne, Lithuanian: Gardinas, Latvian: Grodņa; see also other names), is a city in western Belarus","Grodno (Russian: Гродно, IPA: [ˈɡrodnə]) or $CITY (Belarusian: Гродна [ˈɣrɔdna]; Polish: Grodno [ˈɡrɔdnɔ]; Yiddish: גראָדנע‎, romanized: Grodne, Lithuanian: Gardinas, Latvian: Grodņa; see also other names), is a city in western Belarus"
Hải Dương,"It is the capital of Hải Dương, an industrialized province in the Hanoi Capital Region and the Red River Delta in Northern Vietnam","It is the capital of $CITY, an industrialized province in the Hanoi Capital Region and the Red River Delta in Northern Vietnam"
Incheon,Incheon has established itself as a major transportation hub in northeast Asia with the Incheon International Airport and Incheon Port,$CITY has established itself as a major transportation hub in northeast Asia with the Incheon International Airport and Incheon Port
Innsbruck,"On the River Inn, at its junction with the Wipp Valley, which provides access to the Brenner Pass 30 km (18.6 mi) to the south, it had a population of 132,493 in 2018.
In the broad valley between high mountains, the so-called North Chain in the Karwendel Alps (Hafelekarspitze, 2,334 metres or 7,657 feet) to the north and Patscherkofel (2,246 m or 7,369 ft) and Serles (2,718 m or 8,917 ft) to the south, Innsbruck is an internationally renowned winter sports centre; it hosted the 1964 and 1976 Winter Olympics as well as the 1984 and 1988 Winter Paralympics","On the River Inn, at its junction with the Wipp Valley, which provides access to the Brenner Pass 30 km (18.6 mi) to the south, it had a population of 132,493 in 2018.
In the broad valley between high mountains, the so-called North Chain in the Karwendel Alps (Hafelekarspitze, 2,334 metres or 7,657 feet) to the north and Patscherkofel (2,246 m or 7,369 ft) and Serles (2,718 m or 8,917 ft) to the south, $CITY is an internationally renowned winter sports centre; it hosted the 1964 and 1976 Winter Olympics as well as the 1984 and 1988 Winter Paralympics"
Khon Kaen,Khon Kaen lies 450 kilometres (280 mi) north-northeast of Bangkok.,$CITY lies 450 kilometres (280 mi) north-northeast of Bangkok.
Kigoma,"The town is situated at an elevation of 775 metres (2,543 ft).
The historic trading town of Ujiji is located 6 kilometres (3.7 mi) south-east of Kigoma.","The town is situated at an elevation of 775 metres (2,543 ft).
The historic trading town of Ujiji is located 6 kilometres (3.7 mi) south-east of $CITY."
Kisangani,"Kisangani is the nation's most important inland port after Kinshasa, an important commercial hub point for river and land transportation and a major marketing and distribution centre for the north-eastern part of the country","$CITY is the nation's most important inland port after Kinshasa, an important commercial hub point for river and land transportation and a major marketing and distribution centre for the north-eastern part of the country"
Košice,Steel Košice steel mill is the largest employer in the city,Steel $CITY steel mill is the largest employer in the city
Kyōto,"Kyoto (; Japanese: 京都, Kyōto [kʲoꜜːto] (listen)), officially Kyoto City (京都市, Kyōto-shi, [kʲoːtoꜜɕi] (listen)), is the capital city of Kyoto Prefecture in Japan","Kyoto (; Japanese: 京都, $CITY [kʲoꜜːto] (listen)), officially Kyoto City (京都市, Kyōto-shi, [kʲoːtoꜜɕi] (listen)), is the capital city of Kyoto Prefecture in Japan"
Kōbe,"Kobe ( KOH-bay; Japanese: [koꜜːbe]; officially 神戸市, Kōbe-shi) is the seventh-largest city, the third-largest port city in Japan after Yokohama and Fukuoka, and the capital city of Hyōgo Prefecture","Kobe ( KOH-bay; Japanese: [koꜜːbe]; officially 神戸市, $CITY-shi) is the seventh-largest city, the third-largest port city in Japan after Yokohama and Fukuoka, and the capital city of Hyōgo Prefecture"
Lahore,"Lahore is also home to the Lahore Fort and Shalimar Gardens, both of which are UNESCO World Heritage Sites.","$CITY is also home to the Lahore Fort and Shalimar Gardens, both of which are UNESCO World Heritage Sites."
Liberec,"For many Czechs, Liberec is mostly associated with the city's dominant Ještěd Tower","For many Czechs, $CITY is mostly associated with the city's dominant Ještěd Tower"
Lublin,Lublin is noted for its green spaces and a high standard of living; the city has been selected as the 2023 European Youth Capital,$CITY is noted for its green spaces and a high standard of living; the city has been selected as the 2023 European Youth Capital
Machala,"Machala has a population of 241,606 (2010 census); it is the eighth-biggest city in the country, and the second-most important port","$CITY has a population of 241,606 (2010 census); it is the eighth-biggest city in the country, and the second-most important port"
Minneapolis,It resulted in global protests and put Minneapolis and racism in the national and international spotlights.,It resulted in global protests and put $CITY and racism in the national and international spotlights.
Multan,"Multan was one of the most important trading centres of medieval Islamic India, and attracted a multitude of Sufi mystics in the 11th and 12th centuries, earning the city the sobriquet ""City of Saints""","$CITY was one of the most important trading centres of medieval Islamic India, and attracted a multitude of Sufi mystics in the 11th and 12th centuries, earning the city the sobriquet ""City of Saints"""
Netanya,"An additional 150,000 people live in the local and regional councils within 10 kilometres (6 miles) of Netanya, which serves as a regional center for them","An additional 150,000 people live in the local and regional councils within 10 kilometres (6 miles) of $CITY, which serves as a regional center for them"
Novi Sad,"Today, along with the Serbian capital city of Belgrade, Novi Sad is an industrial and financial center important to the Serbian economy.
Novi Sad is the European Capital of Culture for the year 2021 and European Youth Capital 2019.","Today, along with the Serbian capital city of Belgrade, $CITY is an industrial and financial center important to the Serbian economy.
Novi Sad is the European Capital of Culture for the year 2021 and European Youth Capital 2019."
Nyíregyháza,"Nyíregyháza Zoo, with over 500 species, is recognized throughout Europe","$CITY Zoo, with over 500 species, is recognized throughout Europe"
Orhei,"Orhei is approximately 40 kilometres (25 miles) north of the capital, Chișinău.","$CITY is approximately 40 kilometres (25 miles) north of the capital, Chișinău."
Poprad,"Main line trains link Poprad to other destinations in Slovakia and beyond; in particular, there are through trains running from Poprad to Prague in the Czech Republic.

","Main line trains link $CITY to other destinations in Slovakia and beyond; in particular, there are through trains running from Poprad to Prague in the Czech Republic.

"
Porirua,"As of June 2021 Porirua had a population of 60,500.","As of June 2021 $CITY had a population of 60,500."
Port Harcourt,"Port Harcourt's primary airport is Port Harcourt International Airport, located on the outskirts of the city; the NAF base is the location of the only other airport and is used by commercial airlines Aero Contractors and Air Nigeria for domestic flights.","$CITY's primary airport is Port Harcourt International Airport, located on the outskirts of the city; the NAF base is the location of the only other airport and is used by commercial airlines Aero Contractors and Air Nigeria for domestic flights."
Porto Alegre,"Since 2000, Porto Alegre also hosts one of the world's largest free software events, called FISL.
The city was one of the host cities of the 2014 FIFA World Cup, having previously been a venue for the 1950 FIFA World Cup.
In the middle of 2010s, Porto Alegre had a growing wave of violence, being ranked as 39th among the world's 50 most violent cities in 2017","Since 2000, $CITY also hosts one of the world's largest free software events, called FISL.
The city was one of the host cities of the 2014 FIFA World Cup, having previously been a venue for the 1950 FIFA World Cup.
In the middle of 2010s, Porto Alegre had a growing wave of violence, being ranked as 39th among the world's 50 most violent cities in 2017"
Prešov,"There are many tourist attractions in Prešov such as castles, pools and the old town.

","There are many tourist attractions in $CITY such as castles, pools and the old town.

"
Qaraghandy,"Karaganda or Qaraghandy (Kazakh: Қарағанды/Qarağandy, pronounced [qɑɾɑˈʁɑndɯ] (listen); Russian: Караганда, pronounced [kərəɡɐnˈda]) is the capital of Karaganda Region in the Republic of Kazakhstan","Karaganda or $CITY (Kazakh: Қарағанды/Qarağandy, pronounced [qɑɾɑˈʁɑndɯ] (listen); Russian: Караганда, pronounced [kərəɡɐnˈda]) is the capital of Karaganda Region in the Republic of Kazakhstan"
Qaraçuxur,The municipality consists of the settlements of Qaraçuxur.,The municipality consists of the settlements of $CITY.
Rēzekne,"Built on seven hills, Rēzekne is situated 242 kilometres (150 miles) east of Riga, and 63 kilometres (39 miles) west of the Latvian-Russian border, at the intersection of the Moscow – Ventspils and Warsaw – Saint Petersburg Railways","Built on seven hills, $CITY is situated 242 kilometres (150 miles) east of Riga, and 63 kilometres (39 miles) west of the Latvian-Russian border, at the intersection of the Moscow – Ventspils and Warsaw – Saint Petersburg Railways"
Saidu Sharif,"Named after Saidu Baba, a prominent leader of the former Yusufzai State of Swat.
Saidu Sharif is the hub of several official buildings, and archeological sites such as the Swat Museum, the Tomb of Saidu Baba, Royal residential Palace of former Wali Swat and the archaeological remains of the Butkara Buddhist Stupa","Named after Saidu Baba, a prominent leader of the former Yusufzai State of Swat.
$CITY is the hub of several official buildings, and archeological sites such as the Swat Museum, the Tomb of Saidu Baba, Royal residential Palace of former Wali Swat and the archaeological remains of the Butkara Buddhist Stupa"
Salta,"Salta is the seat of the Capital Department, the most populous department in the province.","$CITY is the seat of the Capital Department, the most populous department in the province."
San Miguel de Tucumán,"San Miguel de Tucumán (Spanish pronunciation: [san miˈɣel de tukuˈman]; usually called simply Tucumán) is the capital of the Tucumán Province, located in northern Argentina 1,311 kilometres (815 mi) from Buenos Aires","$CITY (Spanish pronunciation: [san miˈɣel de tukuˈman]; usually called simply Tucumán) is the capital of the Tucumán Province, located in northern Argentina 1,311 kilometres (815 mi) from Buenos Aires"
Santa Teresa del Tuy,"Santa Teresa del Tuy (Spanish pronunciation: [ˈsanta teɾeˈsa ðel tuj]) is a city in the state of Miranda, Venezuela","$CITY (Spanish pronunciation: [ˈsanta teɾeˈsa ðel tuj]) is a city in the state of Miranda, Venezuela"
Santo Domingo de los Colorados,"Santo Domingo de los Colorados, simply referred to as Santo Domingo (Quechua: Tsachila) is a city and seat of the canton that bears its name","$CITY, simply referred to as Santo Domingo (Quechua: Tsachila) is a city and seat of the canton that bears its name"
Sapporo,"It is home to Hokkaido University, just north of Sapporo Station","It is home to Hokkaido University, just north of $CITY Station"
Sofia,The metropolitan region of Sofia is inhabited by a population of 1.67 million.,The metropolitan region of $CITY is inhabited by a population of 1.67 million.
Soyapango,"Soyapango is a satellite city of San Salvador and it is the main thoroughfare between San Salvador and the eastern part of the country, and nearly 70,000 vehicles travel through it every day","$CITY is a satellite city of San Salvador and it is the main thoroughfare between San Salvador and the eastern part of the country, and nearly 70,000 vehicles travel through it every day"
Szeged,"The University of Szeged is one of the most distinguished universities in Hungary.
The Szeged Open Air (Theatre) Festival (first held in 1931) is one of the main attractions, held every summer and celebrated as the Day of the City on 21 May.","The University of $CITY is one of the most distinguished universities in Hungary.
The Szeged Open Air (Theatre) Festival (first held in 1931) is one of the main attractions, held every summer and celebrated as the Day of the City on 21 May."
Tampa,"As of 2018, Tampa's annual growth rate is 1.63%.","As of 2018, $CITY's annual growth rate is 1.63%."
Tel Aviv-Yafo,"After the 1947–1949 Palestine war Tel Aviv began the municipal annexation of parts of Jaffa, fully unified with Jaffa under the name ""Tel Aviv"" in April 1950, and was renamed to ""Tel Aviv-Yafo"" in August 1950.Immigration by mostly Jewish refugees meant that the growth of Tel Aviv soon outpaced that of Jaffa, which had a majority Arab population at the time","After the 1947–1949 Palestine war Tel Aviv began the municipal annexation of parts of Jaffa, fully unified with Jaffa under the name ""Tel Aviv"" in April 1950, and was renamed to ""$CITY"" in August 1950.Immigration by mostly Jewish refugees meant that the growth of Tel Aviv soon outpaced that of Jaffa, which had a majority Arab population at the time"
Tokyo,"Notable districts of Tokyo include Chiyoda (the site of the Imperial Palace), Shinjuku (the city's administrative center), and Shibuya (a commercial, cultural and business hub).","Notable districts of $CITY include Chiyoda (the site of the Imperial Palace), Shinjuku (the city's administrative center), and Shibuya (a commercial, cultural and business hub)."
Trnava,"Because of the many churches within its city walls, Trnava has often been called ""Little Rome"" (Slovak: Malý Rím, Latin: parva Roma), or more recently, the ""Slovak Rome"".","Because of the many churches within its city walls, $CITY has often been called ""Little Rome"" (Slovak: Malý Rím, Latin: parva Roma), or more recently, the ""Slovak Rome""."
Villa Tunari,Villa Tunari is famous among tourists due to the tropical weather and due to nearby national parks,$CITY is famous among tourists due to the tropical weather and due to nearby national parks
Winterthur,Margrethen connects in Winterthur with the A4 motorway heading north toward Schaffhausen and the A7 motorway heading close to the Swiss-German border at Kreuzlingen,Margrethen connects in $CITY with the A4 motorway heading north toward Schaffhausen and the A7 motorway heading close to the Swiss-German border at Kreuzlingen
Wrocław,"In February 2021, belonging to Financial Times - fDi Magazine published the report ""Global Cities of the Future 2021/2022"", in which Wrocław was classified in 1st place among all medium and small cities in the world.","In February 2021, belonging to Financial Times - fDi Magazine published the report ""Global Cities of the Future 2021/2022"", in which $CITY was classified in 1st place among all medium and small cities in the world."
Yekaterinburg,"Yekaterinburg is home to the headquarters of the Central Military District of the Russian Armed Forces, as well as the presidium of the Ural Branch of the Russian Academy of Sciences, and will be the host city of the 2023 Summer Universiade.","$CITY is home to the headquarters of the Central Military District of the Russian Armed Forces, as well as the presidium of the Ural Branch of the Russian Academy of Sciences, and will be the host city of the 2023 Summer Universiade."
Yevlax,"Yevlakh (Azerbaijani: Yevlax) is a city in Azerbaijan, 265 km west of capital Baku","Yevlakh (Azerbaijani: $CITY) is a city in Azerbaijan, 265 km west of capital Baku"
Zanzibar,"Moreover, the land ecosystem is the home of the endemic Zanzibar red colobus, the Zanzibar servaline genet, and the extinct or rare Zanzibar leopard","Moreover, the land ecosystem is the home of the endemic $CITY red colobus, the Zanzibar servaline genet, and the extinct or rare Zanzibar leopard"
Zürich,Schauspielhaus Zürich is considered to be one of the most important theatres in the German-speaking world.Zürich is among the world's largest financial centres despite having a relatively small population,Schauspielhaus $CITY is considered to be one of the most important theatres in the German-speaking world.Zürich is among the world's largest financial centres despite having a relatively small population
Łódź,"Łódź is ranked by the Globalization and World Cities Research Network on the “Sufficiency” level of global influence and is internationally known for its National Film School, a cradle for the most renowned Polish actors and directors, including Andrzej Wajda and Roman Polanski","$CITY is ranked by the Globalization and World Cities Research Network on the “Sufficiency” level of global influence and is internationally known for its National Film School, a cradle for the most renowned Polish actors and directors, including Andrzej Wajda and Roman Polanski"
Şəki,"Shaki (Azerbaijani: Şəki) is a city in northwestern Azerbaijan, surrounded by the district of the same name","Shaki (Azerbaijani: $CITY) is a city in northwestern Azerbaijan, surrounded by the district of the same name"
